Ancien/Nouveau;[<20];[20-30];[30-37];[37-42];[42-45];[45-55];[55-58];[58-63];[63-70];[70-80];[>80]
[<20];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[20-30];0.0;0.37;0.01;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[30-37];0.0;0.011;0.315;0.011;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[37-42];0.0;0.0;0.011;0.116;0.002;0.0;0.0;0.0;0.0;0.0;0.0
[42-45];0.0;0.0;0.0;0.002;0.053;0.007;0.0;0.0;0.0;0.0;0.0
[45-55];0.0;0.0;0.0;0.0;0.007;0.083;0.0;0.0;0.0;0.0;0.0
[55-58];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[58-63];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[63-70];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[70-80];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
[>80];0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
